lookup_key,company_name,activities,expiry_date,status,source
PANAD SITE SERVICES LIMITED,Panad Site Services Limited,SG,31-Oct-26,approved,sia_acs_register_html
PARAGON SECURITY GROUP LTD,Paragon Security Group Ltd,SG,30-Sep-28,approved,sia_acs_register_html
PARAMOUNT SECURITY SOLUTIONS LTD,Paramount Security Solutions Ltd,"SG, KH",30-Jun-29,approved,sia_acs_register_html
PARAMOUNT STEWARDING & SECURITY LIMITED,Paramount Stewarding & Security Limited,SG,31-Dec-27,approved,sia_acs_register_html
PAVILION SECURITY SERVICES LIMITED,Pavilion Security Services Limited,DS,31-Aug-28,approved,sia_acs_register_html
PEACE OF MIND SECURITY CONSULTANTS LIMITED (TRADING AS SMARTGUARD SECURITY),Peace of Mind Security Consultants Limited (trading as SmartGuard Security),"SG, KH",31-Jul-29,approved,sia_acs_register_html
PEREGRINE RISK MANAGEMENT LTD,Peregrine Risk Management Ltd,"CP, DS, SG",31-Dec-27,approved,sia_acs_register_html
PERIMITECH LIMITED (TRADING AS PREMIER SERVICES),Perimitech Limited (trading as Premier Services),"SG, KH, CCTV",31-May-27,approved,sia_acs_register_html
BX1 GROUP LTD,BX1 Group LTD,SG,31-Jan-28,approved,sia_acs_register_html
PHOENIX FM SERVICES LIMITED,Phoenix FM Services Limited,"SG, KH, CCTV",31-Mar-29,approved,sia_acs_register_html
PHOENIX SECURITY (ESSEX) LIMITED,Phoenix Security (Essex) Limited,SG,30-Jun-28,approved,sia_acs_register_html
PHX SECURITY LIMITED,PHX Security Limited,"SG, KH",31-Dec-28,approved,sia_acs_register_html
PILGRIMS RISK MANAGEMENT GROUP LTD,Pilgrims Risk Management Group Ltd,SG,31-Mar-28,approved,sia_acs_register_html
PINNACLE HOUSING LIMITED,Pinnacle Housing Limited,SG,31-Jan-29,approved,sia_acs_register_html
POC MANAGEMENT LIMITED,POC Management Limited,SG,30-Nov-26,approved,sia_acs_register_html
POLSEC GROUP LTD,Polsec Group Ltd,KH,30-Apr-28,approved,sia_acs_register_html
PORTAL SECURITY LTD,Portal Security Ltd,SG,31-Mar-27,approved,sia_acs_register_html
POSEIDON SECURITY SPECIAL SERVICES LTD,Poseidon Security Special Services Ltd,SG,31-May-28,approved,sia_acs_register_html
POSITIVE PROTECTION SOLUTIONS LIMITED,Positive Protection Solutions Limited,"SG, DS",31-Mar-27,approved,sia_acs_register_html
POST OFFICE LIMITED,Post Office Limited,CViT,31-Mar-27,approved,sia_acs_register_html
PRACTICAL EVENT SECURITY SOLUTIONS LTD,Practical Event Security Solutions Ltd,DS,30-Jun-27,approved,sia_acs_register_html
PREMIER SECURITY 24/7 UK LIMITED,Premier Security 24/7 UK Limited,"SG, KH",31-Mar-27,approved,sia_acs_register_html
PREMIER SUPPORT SERVICES LIMITED,Premier Support Services Limited,"SG, KH",29-Feb-28,approved,sia_acs_register_html
PRESTIGE GUARDING LIMITED,Prestige Guarding Limited,KH,30-Jun-28,approved,sia_acs_register_html
PRESTIGE SECURE SERVICES LTD,Prestige Secure Services Ltd,SG,31-Oct-28,approved,sia_acs_register_html
PRIDE GUARDING LTD,Pride Guarding Ltd,SG,31-Mar-28,approved,sia_acs_register_html
PRIME SECURE SYSTEMS LTD T/A PRIME SECURE,Prime Secure Systems Ltd t/a Prime Secure,"SG, KH",31-May-29,approved,sia_acs_register_html
PRIME SECURITY SERVICES LTD,Prime Security Services Ltd,SG,31-Oct-27,approved,sia_acs_register_html
PRINCIPAL SECURITY CONSULTANTS LTD,Principal Security Consultants Ltd,SG,31-Oct-27,approved,sia_acs_register_html
PRISTINE FACILITIES AND SECURITY LTD,Pristine Facilities and Security Ltd,SG,30-Nov-28,approved,sia_acs_register_html
PRISTINE FM LIMITED,Pristine FM Limited,"SG,KH",31-Oct-26,approved,sia_acs_register_html
PRO SENTRY LTD,Pro Sentry Ltd,"SG, KH",31-Jan-27,approved,sia_acs_register_html
PRO-AC SECURITY SERVICES LTD,Pro-ac Security Services Ltd,SG,31-Aug-27,approved,sia_acs_register_html
PROFEDONE LTD,Profedone Ltd,DS,31-May-29,approved,sia_acs_register_html
PROFESSIONAL GUARDING FACILITIES MANAGEMENT LTD,Professional Guarding Facilities Management Ltd,"SG, KH",31-Jan-27,approved,sia_acs_register_html
PROFESSIONAL SECURITY MANAGEMENT LIMITED,Professional Security Management Limited,"SG, KH",31-Jul-28,approved,sia_acs_register_html
PROFESSIONAL WITNESSES LIMITED,Professional Witnesses Limited,SG,30-Jun-27,approved,sia_acs_register_html
PROFICIENT SECURITY LIMITED,Proficient Security Limited,"SG, KH",30-Nov-27,approved,sia_acs_register_html
PROFILE SECURITY SERVICES LIMITED,Profile Security Services Limited,"SG, KH, CCTV",31-Mar-27,approved,sia_acs_register_html
PROFORCE SECURITY SERVICES LIMITED,Proforce Security Services Limited,"SG, KH",28-Feb-29,approved,sia_acs_register_html
PROGRESSIVE GROUP SERVICES LTD,Progressive Group Services Ltd,SG,31-Jan-29,approved,sia_acs_register_html
PROJECT SECURITY UK LIMITED (TRADING AS: PROSEC UK),Project Security UK Limited (trading as: Prosec UK),"SG, DS, KH",30-Sep-27,approved,sia_acs_register_html
PROMINENT SECURITY SERVICES LIMITED,Prominent Security Services Limited,SG,31-Aug-28,approved,sia_acs_register_html
PROTEC FACILITIES MANAGEMENT LTD T/A PROTEC FM,Protec Facilities Management Ltd t/a Protec FM,"SG, KH",31-Jan-27,approved,sia_acs_register_html
PRO-TECT UK SECURITY AND TRAINING LIMITED,Pro-Tect UK Security and Training Limited,"SG, DS, KH",31-Dec-26,approved,sia_acs_register_html
PROTECTIONS SECURITY LIMITED,Protections Security Limited,SG,30-Jun-27,approved,sia_acs_register_html
PROVIDE SESS LIMITED,Provide SESS Limited,"SG, DS, KH",31-May-29,approved,sia_acs_register_html
QUICK FORCE LIMITED,Quick Force Limited,SG,30-Nov-28,approved,sia_acs_register_html
QUICK RESPOND SECURITY LIMITED,Quick Respond Security Limited,"SG, KH",30-Apr-29,approved,sia_acs_register_html
RADIUS SECURITY LIMITED,Radius Security Limited,"DS, SG",30-Jun-27,approved,sia_acs_register_html
RAMPART SECURITY & FM LTD,Rampart Security & FM Ltd,SG,31-Oct-28,approved,sia_acs_register_html
RANGE SECURITY SERVICES LIMITED,Range Security Services Limited,SG,31-Oct-28,approved,sia_acs_register_html
RAPID SERVICES GROUP LTD,Rapid Services Group Ltd,SG,31-Mar-28,approved,sia_acs_register_html
RAPPORT SECURITY SERVICES LIMITED,Rapport Security Services Limited,SG,31-May-27,approved,sia_acs_register_html
RAWAL VERITAS LTD,Rawal Veritas Ltd,SG,31-Jul-27,approved,sia_acs_register_html
RAYAN FACILITIES MANAGEMENT LTD,Rayan Facilities Management Ltd,SG,30-Apr-28,approved,sia_acs_register_html
REAL WORLD SERVICES LIMITED,Real World Services Limited,"SG, KH",31-Mar-27,approved,sia_acs_register_html
REASSURANCE SECURITY SERVICES LIMITED,Reassurance Security Services Limited,"SG, KH",31-Aug-26,approved,sia_acs_register_html
REAY SECURITY LIMITED (TRADING AS REAY SECURITY),Reay Security Limited (trading as Reay Security),"SG, CCTV, KH",31-Mar-27,approved,sia_acs_register_html
RED SECURITY SOLUTIONS LIMITED,Red Security Solutions Limited,SG,30-Jun-28,approved,sia_acs_register_html
RED WATCH SECURITY LIMITED,Red Watch Security Limited,"SG, KH",30-Nov-27,approved,sia_acs_register_html
REGENCY GUARDING AND EVENTS LTD,Regency Guarding and Events Ltd,"SG, KH, DS",31-Jan-27,approved,sia_acs_register_html
REGENT FM LIMITED,Regent FM Limited,"SG, KH",31-Dec-28,approved,sia_acs_register_html
REGENT OFFICE CARE LIMITED T/A SAMSIC UK,Regent Office Care Limited t/a Samsic UK,"SG, KH",30-Apr-27,approved,sia_acs_register_html
REGION SECURITY GUARDING LTD,Region Security Guarding Ltd,SG,31-Dec-28,approved,sia_acs_register_html
REGENCY SECURITY SERVICES (UK) LIMITED,Regency Security Services (UK) Limited,DS,31-Oct-27,approved,sia_acs_register_html
RELYON GUARDING AND SECURITY SERVICES LIMITED,Relyon Guarding and Security Services Limited,"SG, KH",31-Jan-28,approved,sia_acs_register_html
REMOTE GUARDING SERVICES LTD,Remote Guarding Services Ltd,SG,31-Oct-28,approved,sia_acs_register_html
REMOTE SURVEILLANCE LIMITED,Remote Surveillance Limited,SG,30-Sep-28,approved,sia_acs_register_html
REPTON SECURITY LIMITED,Repton Security Limited,"SG, KH",31-Mar-27,approved,sia_acs_register_html
RFA SECURITY SERVICES LIMITED,RFA Security Services Limited,"SG, KH",31-Oct-27,approved,sia_acs_register_html
RGM SECURITY LTD,RGM Security Ltd,SG,28-Feb-29,approved,sia_acs_register_html
RIGHT GUARD SOLUTIONS LTD,Right Guard Solutions Ltd,"SG, KH, DS",31-Aug-26,approved,sia_acs_register_html
RINZ SECURITY LTD,Rinz Security Ltd,SG,31-Oct-28,approved,sia_acs_register_html
RISK MANAGEMENT SERVICES (CHILTERN) LIMITED,Risk Management Services (Chiltern) Limited,"SG, KH",31-Mar-27,approved,sia_acs_register_html
RMS CASH SOLUTIONS LTD T/A PIVOTAL SEC PLUS,RMS Cash Solutions Ltd T/A Pivotal Sec Plus,CViT,31-May-28,approved,sia_acs_register_html
RMSS LTD,RMSS Ltd,SG,31-Dec-27,approved,sia_acs_register_html
ROBERTSON FACILITIES MANAGEMENT LIMITED,Robertson Facilities Management Limited,"SG, CCTV",31-Jul-2028,approved,sia_acs_register_html
ROCK SECURITY SOLUTIONS LIMITED,Rock Security Solutions Limited,"DS, CP",30-Nov-28,approved,sia_acs_register_html
ROSSI FACILITY SERVICES LIMITED,Rossi Facility Services Limited,SG,31-Jul-27,approved,sia_acs_register_html
ROYEL SECURITY LIMITED,Royel Security Limited,SG,31-Oct-26,approved,sia_acs_register_html
RUBICON FACILITIES MANAGEMENT LTD,Rubicon Facilities Management Ltd,SG,30-Apr-28,approved,sia_acs_register_html
S.E.S. LIMITED,S.E.S. Limited,SG,31-Mar-27,approved,sia_acs_register_html
S4SECURITY LTD,S4Security Ltd,SG,31-Mar-29,approved,sia_acs_register_html
SABA PARK SERVICES UK LIMITED,Saba Park Services UK Limited,"SG, CCTV",31-Mar-27,approved,sia_acs_register_html
SABER SECURITY LIMITED,Saber Security Limited,SG,30-Apr-29,approved,sia_acs_register_html
SABRE GUARDING LIMITED,Sabre Guarding Limited,SG,31-Oct-27,approved,sia_acs_register_html
SAFE SECURITY (NI) LIMITED,Safe Security (NI) Limited,"SG, DS, KH, CCTV",31-Jan-29,approved,sia_acs_register_html
SAFEGUARD SECURITY (NE) LIMITED,Safeguard Security (NE) Limited,"SG, KH",31-May-29,approved,sia_acs_register_html
SAFER SCOTLAND LTD T/A SAFER GROUP,Safer Scotland Ltd t/a Safer Group,SG,31-Mar-27,approved,sia_acs_register_html
SAFESTYLE SECURITY SERVICES LIMITED,Safestyle Security Services Limited,"SG, DS, KH",30-Oct-26,approved,sia_acs_register_html
SAGA SECURITY SERVICES LTD,Saga Security Services Ltd,SG,31-Aug-28,approved,sia_acs_register_html
SALTIRE SECURITY LTD,Saltire Security Ltd,DS,30-Jun-27,approved,sia_acs_register_html
SENTINEL RISK & MANAGEMENT (NI) LTD (PKA SAMDEC SECURITY LIMITED),Sentinel Risk & Management (NI) Ltd (pka Samdec Security Limited),SG,30-Oct-27,approved,sia_acs_register_html
SAMSON SECURITY LIMITED,Samson Security Limited,"SG, KH, CCTV",31-Jan-28,approved,sia_acs_register_html
SAS MANAGED SERVICES LTD,SAS Managed Services Ltd,"SG, DS",31-Mar-28,approved,sia_acs_register_html
SCOPE SECURITY LTD,Scope Security Ltd,"SG, DS",31-Dec-27,approved,sia_acs_register_html
SCUTUM DIGITAL LIMITED,Scutum Digital Limited,"DS, SG, KH, CCTV",31-Jul-29,approved,sia_acs_register_html
SECCURO SECURITY SERVICES LTD,Seccuro Security Services Ltd,SG,30-Apr-27,approved,sia_acs_register_html
SECTOR SECURITY SERVICES LIMITED,Sector Security Services Limited,"SG, KH",30-Apr-27,approved,sia_acs_register_html
SECURE AT EASE LIMITED T/A 247 EURO SECURITY,Secure At Ease Limited t/a 247 Euro Security,SG,31-Jan-29,approved,sia_acs_register_html
SECURE FM LTD,Secure FM Ltd,SG,30-Apr-28,approved,sia_acs_register_html
1ST NATIONAL SECURITY LTD,1st National Security Ltd,SG,02-Jan-27,approved,sia_acs_register_html
SECURE ON SITE PRIVATE SECURITY SERVICES LTD,Secure On Site Private Security Services Ltd,"SG, DS",30-Sep-28,approved,sia_acs_register_html
SECURE RISK MANAGEMENT LIMITED,Secure Risk Management Limited,"SG, KH",31-Jan-29,approved,sia_acs_register_html
SECURE SECURITY GUARDS LTD,Secure Security Guards Ltd,SG,31-Aug-27,approved,sia_acs_register_html
SECURE WORKFORCE LIMITED,Secure Workforce Limited,SG,31-Jul-29,approved,sia_acs_register_html
SECURE WORLD SECURITY LIMITED,Secure World Security Limited,SG,31-May-29,approved,sia_acs_register_html
SECUREFORCE UK LTD,Secureforce UK Ltd,"SG, KH",30-Jun-29,approved,sia_acs_register_html
SECURE-OPS EVENTS LIMITED,Secure-Ops Events Limited,"DS, SG",31-Aug-27,approved,sia_acs_register_html
SECURI SERVE LTD,Securi Serve Ltd,"DS, SG, KH",30-Jun-27,approved,sia_acs_register_html
SECURICALL U.K. LIMITED (TRADING AS CSA SERVICE GROUP),Securicall U.K. Limited (trading as CSA Service Group),"SG, KH",31-Jan-29,approved,sia_acs_register_html
SECURIGROUP LIMITED,Securigroup Limited,"SG, DS, CCTV, CP, KH",31-May-29,approved,sia_acs_register_html
SECURIZEN UK LIMITED,Securizen UK Limited,SG,31-Jul-27,approved,sia_acs_register_html
SECURIT GROUP LIMITED,Securit Group Limited,SG,30-Apr-29,approved,sia_acs_register_html
SECURITAS SERVICES HOLDING UK LIMITED T/A SECURITAS,Securitas Services Holding UK Limited t/a Securitas,"SG, KH, CCTV",31-Mar-27,approved,sia_acs_register_html
SECURITAY LIMITED,Securitay Limited,"SG, KH",30-Sep-26,approved,sia_acs_register_html
SECURITY 2000 LIMITED,Security 2000 Limited,"SG, KH",31-Dec-27,approved,sia_acs_register_html
SECURITY 247 LTD,Security 247 Ltd,"SG, KH",28-Feb-27,approved,sia_acs_register_html
SECURITYANDSTEWARDSUK LIMITED,SECURITYANDSTEWARDSUK LIMITED,DS,31-Jul-27,approved,sia_acs_register_html
SECURITY AND EVENT SOLUTIONS LIMITED,Security and Event Solutions limited,"SG, DS",31-Aug-28,approved,sia_acs_register_html
SECURITY AND SURVEILLANCE UK LIMITED,Security and Surveillance UK Limited,"SG, KH, CCTV",31-Jul-29,approved,sia_acs_register_html
SECURITY KEYHOLDING LTD,Security Keyholding Ltd,"KH, SG",31-Jan-29,approved,sia_acs_register_html
SECURITY MANAGEMENT SOUTH WEST LIMITED,Security Management South West Limited,"SG, KH",31-May-29,approved,sia_acs_register_html
SECURITY MONITORING CENTRES LIMITED (TRADING AS REMOTE VIDEO RESPONSE),Security Monitoring Centres Limited (trading as Remote Video Response),SG,31-Mar-28,approved,sia_acs_register_html
SECURITY NATION LTD,Security Nation Ltd,"SG, DS",31-Dec-28,approved,sia_acs_register_html
SECURITY PLUS + LIMITED T/A PIVOTAL SEC PLUS,Security Plus + Limited t/a Pivotal Sec Plus,CViT,31-Mar-27,approved,sia_acs_register_html
SECURITY PROJECTS UK LIMITED,Security Projects UK Limited,SG,31-Jan-27,approved,sia_acs_register_html
SECURITY SCOTLAND LTD,Security Scotland Ltd,"SG, DS",31-Mar-28,approved,sia_acs_register_html
SECURITY WORKS LIMITED,Security Works Limited,SG,31-Dec-26,approved,sia_acs_register_html
SECURTEAM LIMITED,SecurTeam Limited,SG,30-Sep-27,approved,sia_acs_register_html
SENTINEL GROUP SECURITY LIMITED,Sentinel Group Security Limited,"SG, KH",31-Mar-28,approved,sia_acs_register_html
SENTRA SOLUTIONS LIMITED,Sentra Solutions Limited,"SG, DS",31-Dec-28,approved,sia_acs_register_html
SENTRY SECURITY LIMITED,Sentry Security Limited,"SG, KH",30-Sep-28,approved,sia_acs_register_html
SENTURIAN SECURITY GROUP LIMITED,Senturian Security Group Limited,SG,30-Jun-28,approved,sia_acs_register_html
SERCO LIMITED,Serco Limited,"SG, CCTV",31-Jan-29,approved,sia_acs_register_html
SERJEANT SECURITY LIMITED,Serjeant Security Limited,"SG, KH",31-Mar-28,approved,sia_acs_register_html
SERVICE HOUSE LIMITED (TRADING AS ADMIRAL SECURITY SERVICES),Service House Limited (trading as Admiral Security Services),"SG, KH",30-Sep-27,approved,sia_acs_register_html
SERVIS FACILITIES LIMITED,Servis Facilities Limited,SG,30-Jun-29,approved,sia_acs_register_html
SERVOCA SECURE SOLUTIONS LIMITED,Servoca Secure Solutions Limited,"SG, KH",31-Mar-27,approved,sia_acs_register_html
SES GROUP LIMITED,SES Group Limited,"SG, DS, KH, CCTV, CP",31-Jul-27,approved,sia_acs_register_html
SFM (UK) LIMITED,SFM (UK) Limited,SG,31-Mar-28,approved,sia_acs_register_html
SGC HOLDINGS LIMITED T/A SGC SECURITY SERVICES,SGC Holdings Limited t/a SGC Security Services,"SG, DS, CP, KH",31-Oct-26,approved,sia_acs_register_html
SGD GUARDING LIMITED,SGD Guarding Limited,"SG, KH",30-Apr-29,approved,sia_acs_register_html
SHADOW SECURITY LIMITED,Shadow Security Limited,SG,31-Oct-28,approved,sia_acs_register_html
SHEARFORCE SECURITY SERVICES (UK) LIMITED,Shearforce Security Services (UK) Limited,SG,30-Sep-28,approved,sia_acs_register_html
SHIELD SECURITY SERVICE LTD,Shield Security Service Ltd,"SG, KH",31-Oct-26,approved,sia_acs_register_html
SHIELD SECURITY SERVICES (YORKSHIRE) LIMITED,Shield Security Services (Yorkshire) Limited,"SG, KH, CCTV",31-Dec-27,approved,sia_acs_register_html
SHIELD SECURITY SERVICES LIMITED,Shield Security Services Limited,"SG, KH, CCTV",31-Jul-27,approved,sia_acs_register_html
SHOWSEC INTERNATIONAL LIMITED,Showsec International Limited,"SG, DS",31-Jan-28,approved,sia_acs_register_html
SHREEVE PROTECTION SERVICES LTD,Shreeve Protection Services Ltd,"SG, KH, DS",31-Aug-26,approved,sia_acs_register_html
SIR SECURITY SERVICES LTD,SIR Security Services Ltd,SG,31-Aug-27,approved,sia_acs_register_html
SITEM SOLUTIONS LTD,SITEM Solutions Ltd,SG,31-Jul-27,approved,sia_acs_register_html
SK SECURITY SERVICES LTD,SK Security Services Ltd,"DS, SG, KH",31-Jan-28,approved,sia_acs_register_html
SKYSHARP SECURITY SERVICES LIMITED,Skysharp Security Services Limited,SG,31-Jul-28,approved,sia_acs_register_html
SKYE GUARDING LTD,Skye Guarding Ltd,SG,28-Feb-27,approved,sia_acs_register_html
SMART SEC SOLUTIONS LIMITED,Smart Sec Solutions Limited,"SG, KH, CCTV",31-Oct-26,approved,sia_acs_register_html
SMARTWATCH SOLUTIONS LIMITED,Smartwatch Solutions Limited,"SG, KH",28-Feb-29,approved,sia_acs_register_html
SNSG LIMITED,SNSG Limited,"SG, DS, KH, CP",30-Nov-28,approved,sia_acs_register_html
SODEXO LIMITED,Sodexo Limited,"SG, DS, CCTV",31-May-29,approved,sia_acs_register_html
SOLID SECURITY SERVICES LIMITED T/A SOLID SECURITY,Solid Security Services Limited t/a Solid Security,SG,30-Apr-27,approved,sia_acs_register_html
SOMERTON SECURITY LIMITED,Somerton Security Limited,SG,30-Sep-28,approved,sia_acs_register_html
SOS SECURITY SERVICES LIMITED,SOS Security Services Limited,"SG, KH",31-Aug-27,approved,sia_acs_register_html
SOUTH ESSEX PROPERTY SERVICES LIMITED,South Essex Property Services Limited,"SG, CCTV",31-Aug-28,approved,sia_acs_register_html
SPECIALIST SECURITY CO LIMITED,Specialist Security Co Limited,"SG, KH",31-Dec-27,approved,sia_acs_register_html
SPECIALIZED ORGANIZATION LIMITED,Specialized Organization Limited,"SG, DS",30-Jun-28,approved,sia_acs_register_html
SPS SECURITY LIMITED,SPS Security Limited,"SG, CCTV, KH",30-Apr-27,approved,sia_acs_register_html
SR FACILITIES GROUP LTD,SR Facilities Group Ltd,"SG, KH",30-Nov-26,approved,sia_acs_register_html
SSGC LTD,SSGC Ltd,SG,31-Dec-28,approved,sia_acs_register_html
SSG SUPPORT SERVICES GROUP LIMITED,SSG Support Services Group Limited,"SG, KH, CCTV",31-Mar-28,approved,sia_acs_register_html
STADIUM TRAFFIC MANAGEMENT LIMITED,Stadium Traffic Management Limited,DS,31-May-29,approved,sia_acs_register_html
STAGE SECURITY LTD,Stage Security Ltd,DS,31-Jan-28,approved,sia_acs_register_html
STAR PROTECTION SERVICES LTD,Star Protection Services Ltd,"SG, DS",30/11/2027,approved,sia_acs_register_html
STATIC SECURITY SERVICES LIMITED,Static Security Services Limited,"SG, KH",30-Jun-28,approved,sia_acs_register_html
STEADFAST SECURITY SOLUTIONS LIMITED,Steadfast Security Solutions Limited,"SG, KH, CCTV",31-Dec-27,approved,sia_acs_register_html
STM GROUP (UK) LIMITED,STM Group (UK) Limited,SG,31-Oct-27,approved,sia_acs_register_html
STN SECURITY SERVICES LTD,STN Security Services Ltd,"SG, KH",31-Oct-27,approved,sia_acs_register_html
STONE MANAGEMENT GROUP LIMITED,Stone Management Group Limited,"SG, KH, CCTV",31-Jul-29,approved,sia_acs_register_html
STONE SECURITY LIMITED,Stone Security Limited,"SG, KH",31-May-27,approved,sia_acs_register_html
STOREWATCH.CO.UK LIMITED (TRADING AS SWL SECURITY SERVICES),Storewatch.co.uk Limited (trading as SWL Security Services),"SG, KH",28-Feb-28,approved,sia_acs_register_html
STRONGGUARD SECURITY UK LTD,StrongGuard Security UK LTD,"SG, KH",31-Jan-28,approved,sia_acs_register_html
SUNWIN SERVICES GROUP 2010 LIMITED T/A NCR ATLEOS,Sunwin Services Group 2010 Limited t/a NCR Atleos,CViT,31-Mar-27,approved,sia_acs_register_html
SUPREME GUARDING SERVICES LIMITED,Supreme Guarding Services Limited,SG,30-Sep-28,approved,sia_acs_register_html
SUPREME PROTECTION LTD,Supreme Protection LTD,"SG, KH",30-Jun-27,approved,sia_acs_register_html
SURREY SECURITY SERVICES LIMITED,Surrey Security Services Limited,"SG, KH",30-Sep-27,approved,sia_acs_register_html
SUSTAIN SECURITY SERVICE LIMITED,Sustain Security Service Limited,SG,28-Feb-29,approved,sia_acs_register_html
SYNERGY GUARDS UK LIMITED,Synergy Guards UK Limited,SG,31-May-27,approved,sia_acs_register_html
SYNERGY SECURITY SOLUTIONS LTD,Synergy Security Solutions Ltd,SG,31-Mar-28,approved,sia_acs_register_html
SYSTEMATIC SECURITY LIMITED T/A SYSTEMATIC SECURITY SERVICES,Systematic Security Limited t/a Systematic Security Services,"SG, KH",31-Mar-28,approved,sia_acs_register_html
T3 SECURITY LIMITED,T3 Security Limited,"SG, DS, KH, CCTV",31-Jul-29,approved,sia_acs_register_html
TALON SECURITY LTD,Talon Security Ltd,"SG, KH",30-Nov-27,approved,sia_acs_register_html
TASK PERSONNEL SOLUTIONS LIMITED,Task Personnel Solutions Limited,"SG, DS",30-Nov-26,approved,sia_acs_register_html
TAYBAR SECURITY LIMITED,Taybar Security Limited,"SG, KH, DS, CCTV",31-Mar-27,approved,sia_acs_register_html
TC FACILITIES MANAGEMENT LIMITED (INCORPORATING EQUINOX SECURITY MANAGEMENT LIMITED T/A TC SECURITY SERVICES),TC Facilities Management Limited (incorporating Equinox Security Management Limited t/a TC Security Services),"SG, KH",31-Oct-27,approved,sia_acs_register_html
VMS SECURITY SERVICES LTD,VMS Security Services Ltd,SG,30-Jun-27,approved,sia_acs_register_html
THE COMBINED SERVICES PROVIDER LIMITED,The Combined Services Provider Limited,"SG, DS, CCTV",31-Oct-28,approved,sia_acs_register_html
THE EXCLUSEC GROUP LIMITED,The Exclusec Group Limited,"SG, DS, KH,CCTV",31-Jul-28,approved,sia_acs_register_html
THE FM COMPANY (UK) LIMITED,The FM Company (UK) Limited,SG,31-Dec-26,approved,sia_acs_register_html
THE KEYHOLDING COMPANY LIMITED,The Keyholding Company Limited,"SG, KH, CCTV",30-Apr-27,approved,sia_acs_register_html
ASEL TEMPORARY SECURITY SOLUTIONS LTD,ASEL Temporary Security Solutions Ltd,"SG, KH, CCTV",31-May-27,approved,sia_acs_register_html
THE REAL TIME SECURITY LIMITED,The Real Time Security Limited,SG,31-Aug-28,approved,sia_acs_register_html
THE SANDS SECURITY GROUP LTD,The Sands Security Group Ltd,"DS, SG",30-Nov-27,approved,sia_acs_register_html
THE SECURITY PEOPLE LTD,The Security People LTD,SG,30-Jun-28,approved,sia_acs_register_html
THE STAMBRIDGE GROUP LIMITED,The Stambridge Group Limited,"SG, DS",31-Mar-27,approved,sia_acs_register_html
THE WAY FORWARD LTD,The Way Forward Ltd,SG,30-Jun-29,approved,sia_acs_register_html
TITAN FACILITIES LIMITED,Titan Facilities Limited,SG,28-Feb-27,approved,sia_acs_register_html
TITAN SECURITY SOLUTIONS LIMITED,Titan Security Solutions Limited,SG,29-Feb-28,approved,sia_acs_register_html
TMS PROTECTION LTD,TMS Protection Ltd,"SG, DS,KH",31-Jul-27,approved,sia_acs_register_html
TOP MARKS FOR SECURITY SERVICES LTD,Top Marks for Security Services Ltd,"SG, KH",30-Apr-28,approved,sia_acs_register_html
TOTAL CARE SECURITY LIMITED,Total Care Security Limited,SG,31-Oct-28,approved,sia_acs_register_html
TOTAL INTEGRATED SERVICES LTD,Total Integrated Services Ltd,SG,30-Nov-26,approved,sia_acs_register_html
TRAGOPAN SECURITY SOLUTIONS LIMITED,Tragopan Security Solutions Limited,"SG, KH",31-Jan-27,approved,sia_acs_register_html
TREADSTONE SECURITY SERVICES LIMITED,Treadstone Security Services Limited,DS,31-Jul-26,approved,sia_acs_register_html
TRITON RISK MANAGEMENT LIMITED,Triton Risk Management Limited,"SG, DS, KH",31-Dec-26,approved,sia_acs_register_html
TRITON SECURITY AND FACILITIES MANAGEMENT LIMITED,Triton Security and Facilities Management Limited,"SG, KH",30-Sep-28,approved,sia_acs_register_html
TRUSTON LIMITED (TRADING AS TRUSTON SECURITY),TrustOn Limited (trading as TrustOn Security),"KH,SG",30-Jun-27,approved,sia_acs_register_html
TSS (TOTAL SECURITY SERVICES) LIMITED,TSS (Total Security Services) Limited,"SG, CCTV, KH",30-Apr-27,approved,sia_acs_register_html
TSSG TRIANGLE SUPPORT SERVICES GROUP LTD,TSSG Triangle Support Services Group Ltd,SG,28-Feb-26,approved,sia_acs_register_html
TYNE TEES SECURITY LIMITED,Tyne Tees Security Limited,"SG, KH",31-Jan-29,approved,sia_acs_register_html
U VALUE FACILITIES LTD,U Value Facilities Ltd,SG,31-Aug-26,approved,sia_acs_register_html
UK PROFESSIONAL GUARDING LIMITED,UK Professional Guarding Limited,"SG, KH",31-May-28,approved,sia_acs_register_html
UK SECURITY AND EVENTS LIMITED,UK Security and Events Limited,SG,31-Oct-26,approved,sia_acs_register_html
UK SECURITY SERVICES LIMITED,UK Security Services Limited,"SG, KH",31-Jan-28,approved,sia_acs_register_html
UMBRELLA SECURITY SOLUTIONS LTD,Umbrella Security Solutions Ltd,SG,31-Jan-29,approved,sia_acs_register_html
UNITED GUARDING SERVICES LIMITED,United Guarding Services Limited,"SG, KH, CCTV",31-Mar-27,approved,sia_acs_register_html
UNITED PROTECTION (UK) SECURITY LIMITED,United Protection (UK) Security Limited,DS,30-Sep-27,approved,sia_acs_register_html
UNITRUST PROTECTION SERVICES (UK) LIMITED,Unitrust Protection Services (UK) Limited,SG,31-May-27,approved,sia_acs_register_html
UNIVERSAL COMMERCIAL GUARDING LIMITED (TRADING AS UNIVERSAL SECURITY),Universal Commercial Guarding Limited (trading as Universal Security),"SG, KH",30-Apr-27,approved,sia_acs_register_html
